name,price,index,oldPrice_idx,oldPrice_list
Apple Watch Ultra dây Alpine,18.990.000₫,1,1,23.990.000₫
Apple Watch Ultra GPS + Cellular 49mm Trail Loop size M/L,19.990.000₫,2,2,23.990.000₫
Apple Watch S8 LTE dây thép,17.990.000₫,3,3,21.990.000₫
Apple Watch S8 LTE viền thép,16.990.000₫,4,4,20.990.000₫
Apple Watch S8 LTE,12.290.000₫,5,5,14.990.000₫
Apple Watch S8 GPS,9.190.000₫,6,6,11.990.000₫
Apple Watch SE 2022 LTE,7.190.000₫,7,7,8.990.000₫
Apple Watch SE 2022 GPS,6.290.000₫,8,8,7.490.000₫
Apple Watch Ultra GPS + Cellular 49mm Ocean Band,19.490.000₫,9,9,23.990.000₫
